наименовние вакансии,минимальная зарплата,максимальная зарплата,валюта зарплаты,ссылка на вакансию,работодатель,месторасположение
Специалист службы поддержки с техническими знаниями (TOOLS),15000,39000,руб.,https://ekaterinburg.hh.ru/vacancy/73595106?from=vacancy_search_list&query=python,Яндекс,Екатеринбург
Ведущий Python-developer,220000,340000,руб.,https://ekaterinburg.hh.ru/vacancy/77013935?from=vacancy_search_list&query=python,Тензор,Екатеринбург
Python разработчик,100000,200000,руб.,https://ekaterinburg.hh.ru/vacancy/76786188?from=vacancy_search_list&query=python,Соловьев Игорь,Екатеринбург
Team leader (Python),200000,250000,руб.,https://ekaterinburg.hh.ru/vacancy/73817404?from=vacancy_search_list&query=python,Сайтсофт,"Екатеринбург, Геологическая и еще 1"
Python Web Developer,не указана,не указана,не указана,https://ekaterinburg.hh.ru/vacancy/75593053?from=vacancy_search_list&query=python,ООО ИНВЕСТСТРОЙ,"Екатеринбург, Геологическая и еще 1"
Программист Python,не указана,не указана,не указана,https://ekaterinburg.hh.ru/vacancy/77005951?from=vacancy_search_list&query=python,"ООО МОТИВ, телекоммуникационная группа",Екатеринбург
Middle Python/Go developer (офис),200000,200000,руб.,https://ekaterinburg.hh.ru/vacancy/76904635?from=vacancy_search_list&query=python,Сайтсофт,"Екатеринбург, Геологическая и еще 1"
Python-разработчик в команду Data Science,не указана,не указана,не указана,https://ekaterinburg.hh.ru/vacancy/77050355?from=vacancy_search_list&query=python,2ГИС,Екатеринбург
Full-stack Python/Django-разработчик,200000,200000,руб.,https://ekaterinburg.hh.ru/vacancy/76549392?from=vacancy_search_list&query=python,ООО Техновизор,Екатеринбург
Специалист по добыче данных,250000,250000,руб.,https://ekaterinburg.hh.ru/vacancy/72352692?from=vacancy_search_list&query=python,SpectrumData,"Екатеринбург, Геологическая"
Fullstack разработчик (junior),50000,90000,руб.,https://ekaterinburg.hh.ru/vacancy/76041411?from=vacancy_search_list&query=python,Carbon Soft,"Екатеринбург, Динамо"
Python senior developer (разработчик),250000,250000,руб.,https://ekaterinburg.hh.ru/vacancy/76840137?from=vacancy_search_list&query=python,ООО Маркет Папа,Екатеринбург
Разработчик бэкенда на Python в Вертикали,не указана,не указана,не указана,https://ekaterinburg.hh.ru/vacancy/76831395?from=vacancy_search_list&query=python,Яндекс,Екатеринбург
Аналитик Данных / Data Analyst,150000,150000,руб.,https://ekaterinburg.hh.ru/vacancy/76924176?from=vacancy_search_list&query=python,Marlerino Group,Екатеринбург
Разработчик Python под Linux,не указана,не указана,не указана,https://ekaterinburg.hh.ru/vacancy/76160582?from=vacancy_search_list&query=python,ООО Айдеко,Екатеринбург
Middle Python developer,не указана,не указана,не указана,https://ekaterinburg.hh.ru/vacancy/76868723?from=vacancy_search_list&query=python,АО РТСофт,"Екатеринбург, Ботаническая"
Backend-разработчик,120000,120000,руб.,https://ekaterinburg.hh.ru/vacancy/76580428?from=vacancy_search_list&query=python,ООО Сибирско-уральская медиакомпания,"Екатеринбург, Площадь 1905 года"
Стажер DevOps-инженер,40000,40000,руб.,https://ekaterinburg.hh.ru/vacancy/76834550?from=vacancy_search_list&query=python,ООО Ренью,"Екатеринбург, Площадь 1905 года"
Data Engineer,не указана,не указана,не указана,https://ekaterinburg.hh.ru/vacancy/77080567?from=vacancy_search_list&query=python,Тинькофф,Екатеринбург
Ведущий/Старший разработчик Python,не указана,не указана,не указана,https://ekaterinburg.hh.ru/vacancy/77082725?from=vacancy_search_list&query=python,РИДЛАБ,"Екатеринбург, Динамо"
Программист-математик,100000,180000,руб.,https://ekaterinburg.hh.ru/vacancy/75512767?from=vacancy_search_list&query=python,ООО Прософт-Биометрикс,Екатеринбург
Разработчик ML,не указана,не указана,не указана,https://ekaterinburg.hh.ru/vacancy/75958278?from=vacancy_search_list&query=python,Уральская горно-металлургическая компания,Екатеринбург
Педагог (наставник) школы программирования,90000,180000,руб.,https://ekaterinburg.hh.ru/vacancy/76077107?from=vacancy_search_list&query=python,ООО Восьмерка,Екатеринбург
Преподаватель по направлениям информационные технологии,45000,50000,руб.,https://ekaterinburg.hh.ru/vacancy/73711401?from=vacancy_search_list&query=python,Real-IT,Екатеринбург
Автор студенческих работ (программирование),50000,130000,руб.,https://ekaterinburg.hh.ru/vacancy/76078582?from=vacancy_search_list&query=python,ООО Студсервис,Екатеринбург
Технический писатель со знанием IT,не указана,не указана,не указана,https://ekaterinburg.hh.ru/vacancy/76569400?from=vacancy_search_list&query=python,Яндекс,Екатеринбург
Специалист 3 линии поддержки продукта Naumen Service Desk,не указана,не указана,не указана,https://ekaterinburg.hh.ru/vacancy/76732980?from=vacancy_search_list&query=python,NAUMEN,Екатеринбург
Automation QA Engineer,60000,60000,руб.,https://ekaterinburg.hh.ru/vacancy/76762687?from=vacancy_search_list&query=python,ООО Контент,"Екатеринбург, Геологическая"
Инженер внедрения (linux),не указана,не указана,не указана,https://ekaterinburg.hh.ru/vacancy/76381460?from=vacancy_search_list&query=python,Unity in Development,"Екатеринбург, Ботаническая и еще 2"
Ведущий специалист сопровождения ПО,не указана,не указана,не указана,https://ekaterinburg.hh.ru/vacancy/76661265?from=vacancy_search_list&query=python,ПАО КБ Уральский банк реконструкции и развития (УБРиР),Екатеринбург
Тестировщик ПО,не указана,не указана,не указана,https://ekaterinburg.hh.ru/vacancy/76041231?from=vacancy_search_list&query=python,ООО Прософт-Системы,"Екатеринбург, Чкаловская"
Инженер информационной инфраструктуры,не указана,не указана,не указана,https://ekaterinburg.hh.ru/vacancy/76949491?from=vacancy_search_list&query=python,Сбер для экспертов,Екатеринбург
Программист С++,80000,80000,руб.,https://ekaterinburg.hh.ru/vacancy/76848247?from=vacancy_search_list&query=python,ООО Мелдана,Екатеринбург
Middle data scientist / исследователь,не указана,не указана,не указана,https://ekaterinburg.hh.ru/vacancy/76996360?from=vacancy_search_list&query=python,Unity in Development,"Екатеринбург, Ботаническая и еще 2"
Разработчик С# (КНАП),110000,110000,руб.,https://ekaterinburg.hh.ru/vacancy/76005870?from=vacancy_search_list&query=python,ООО КНОПКА,"Екатеринбург, Площадь 1905 года"
Технический писатель со знанием IT,не указана,не указана,не указана,https://ekaterinburg.hh.ru/vacancy/76986485?from=vacancy_search_list&query=python,Яндекс,Екатеринбург
